"Date","Market","Component","Delmo","Segment","Price"
2017-07-18,"ERCOT ","ZONE N",2018-07-01,"pkPrice",48.389
2017-07-18,"ERCOT ","ZONE N",2018-08-01,"pkPrice",68.912
2017-07-18,"ERCOT ","ZONE N",2018-09-01,"pkPrice",31.2768
2017-07-18,"ERCOT ","ZONE N",2018-10-01,"pkPrice",25.069
2017-07-18,"ERCOT ","ZONE N",2018-11-01,"pkPrice",24.2966
2017-07-18,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.89865
2017-07-19,"ERCOT ","ZONE N",2018-01-01,"pkPrice",28.59456
2017-07-19,"ERCOT ","ZONE N",2018-02-01,"pkPrice",28.78875
2017-07-19,"ERCOT ","ZONE N",2018-03-01,"pkPrice",27.91188
2017-07-19,"ERCOT ","ZONE N",2018-04-01,"pkPrice",27.1524
2017-07-19,"ERCOT ","ZONE N",2018-05-01,"pkPrice",26.0442
2017-07-19,"ERCOT ","ZONE N",2018-06-01,"pkPrice",32.1789
2017-07-19,"ERCOT ","ZONE N",2018-07-01,"pkPrice",48.3226
2017-07-19,"ERCOT ","ZONE N",2018-08-01,"pkPrice",68.8412
2017-07-19,"ERCOT ","ZONE N",2018-09-01,"pkPrice",31.2552
2017-07-19,"ERCOT ","ZONE N",2018-10-01,"pkPrice",25.0518
2017-07-19,"ERCOT ","ZONE N",2018-11-01,"pkPrice",24.2884
2017-07-19,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.88255
2017-07-20,"ERCOT ","ZONE N",2018-01-01,"pkPrice",28.41753
2017-07-20,"ERCOT ","ZONE N",2018-02-01,"pkPrice",28.62668
2017-07-20,"ERCOT ","ZONE N",2018-03-01,"pkPrice",27.77704
2017-07-20,"ERCOT ","ZONE N",2018-04-01,"pkPrice",27.18045
2017-07-20,"ERCOT ","ZONE N",2018-05-01,"pkPrice",26.0897
2017-07-20,"ERCOT ","ZONE N",2018-06-01,"pkPrice",34.692
2017-07-20,"ERCOT ","ZONE N",2018-07-01,"pkPrice",46.78575
2017-07-20,"ERCOT ","ZONE N",2018-08-01,"pkPrice",67.32905
2017-07-20,"ERCOT ","ZONE N",2018-09-01,"pkPrice",31.2984
2017-07-20,"ERCOT ","ZONE N",2018-10-01,"pkPrice",25.0948
2017-07-20,"ERCOT ","ZONE N",2018-11-01,"pkPrice",24.3212
2017-07-20,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.91475
2017-07-21,"ERCOT ","ZONE N",2018-01-01,"pkPrice",27.95388
2017-07-21,"ERCOT ","ZONE N",2018-02-01,"pkPrice",28.17459
2017-07-21,"ERCOT ","ZONE N",2018-03-01,"pkPrice",27.380948
2017-07-21,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.91865
2017-07-21,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.8895
2017-07-21,"ERCOT ","ZONE N",2018-06-01,"pkPrice",34.44
2017-07-21,"ERCOT ","ZONE N",2018-07-01,"pkPrice",47.1885
2017-07-21,"ERCOT ","ZONE N",2018-08-01,"pkPrice",67.5933
2017-07-21,"ERCOT ","ZONE N",2018-09-01,"pkPrice",31.0824
2017-07-21,"ERCOT ","ZONE N",2018-10-01,"pkPrice",24.9228
2017-07-21,"ERCOT ","ZONE N",2018-11-01,"pkPrice",24.1654
2017-07-21,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.7618
2017-07-24,"ERCOT ","ZONE N",2018-01-01,"pkPrice",27.36378
2017-07-24,"ERCOT ","ZONE N",2018-02-01,"pkPrice",27.5519
2017-07-24,"ERCOT ","ZONE N",2018-03-01,"pkPrice",26.782595
2017-07-24,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.39505
2017-07-24,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.4163
2017-07-24,"ERCOT ","ZONE N",2018-06-01,"pkPrice",33.828
2017-07-24,"ERCOT ","ZONE N",2018-07-01,"pkPrice",45.3618
2017-07-24,"ERCOT ","ZONE N",2018-08-01,"pkPrice",65.4075
2017-07-24,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.8252
2017-07-24,"ERCOT ","ZONE N",2018-10-01,"pkPrice",24.4928
2017-07-24,"ERCOT ","ZONE N",2018-11-01,"pkPrice",23.7554
2017-07-24,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.35125
2017-07-25,"ERCOT ","ZONE N",2018-01-01,"pkPrice",27.7329
2017-07-25,"ERCOT ","ZONE N",2018-02-01,"pkPrice",27.9243
2017-07-25,"ERCOT ","ZONE N",2018-03-01,"pkPrice",27.052275
2017-07-25,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.5727
2017-07-25,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.5619
2017-07-25,"ERCOT ","ZONE N",2018-06-01,"pkPrice",33.996
2017-07-25,"ERCOT ","ZONE N",2018-07-01,"pkPrice",45.56915
2017-07-25,"ERCOT ","ZONE N",2018-08-01,"pkPrice",65.70585
2017-07-25,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.9669
2017-07-25,"ERCOT ","ZONE N",2018-10-01,"pkPrice",24.6046
2017-07-25,"ERCOT ","ZONE N",2018-11-01,"pkPrice",23.8538
2017-07-25,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.46395
2017-07-26,"ERCOT ","ZONE N",2018-01-01,"pkPrice",27.67375
2017-07-26,"ERCOT ","ZONE N",2018-02-01,"pkPrice",27.8901
2017-07-26,"ERCOT ","ZONE N",2018-03-01,"pkPrice",27.010138
2017-07-26,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.5353
2017-07-26,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.5073
2017-07-26,"ERCOT ","ZONE N",2018-06-01,"pkPrice",31.3797
2017-07-26,"ERCOT ","ZONE N",2018-07-01,"pkPrice",45.2042
2017-07-26,"ERCOT ","ZONE N",2018-08-01,"pkPrice",65.28245
2017-07-26,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.6288
